,Unnamed: 0,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
364,364,2022.06.30 12:40:46:632,201.995,957.159329549445,162.523410177388,4.90756792964352,-909.629633681902,286.396565681978,81.883568784222,0.730676,-3.273053,-0.710584,0.0,0.0,0.0,254,254,2,0.125892541179417,-9,0.0,0.5500000000000114,ok
365,365,2022.06.30 12:40:47:194,202.557,958.812294757048,162.546975203665,4.86576214404428,-911.375286694279,286.534242441507,81.3279244089499,0.740182,-3.290585,-0.73806,0.007428,-0.002876,-0.012543,254,254,2,0.125892541179417,-9,0.0,0.5619999999999834,ok
366,366,2022.06.30 12:40:47:758,203.121,960.6128584923,162.580312799656,4.80762285954288,-913.332064767516,286.565603615152,80.5093671130016,0.742638,-3.294146,-0.746763,2e-06,-3.3e-05,2.5e-05,254,254,2,0.125892541179417,-9,0.0,0.5640000000000214,ok
367,367,2022.06.30 12:40:48:310,203.673,962.267425581317,162.603688504467,4.76613696488836,-915.077717779893,286.703280375143,79.9537227386609,0.742697,-3.294849,-0.749214,0.00035,-0.000929,-0.001047,254,254,2,0.125892541179417,-9,0.0,0.5519999999999925,ok
368,368,2022.06.30 12:40:48:874,204.237,954.472740485398,161.853235272081,4.77442970399713,-903.851831900587,296.241068512365,79.4437387483194,-1.860252,-1.441561,2.264601,0.0,0.0,0.0,254,254,2,0.01,-20,0.0,0.563999999999993,ok
369,369,2022.06.30 12:40:49:423,204.786,955.099396747897,161.754502362444,4.76184330816244,-903.949651918838,297.999137199193,79.2868128539994,-1.854695,-1.437762,2.263509,0.0,0.0,0.0,254,254,2,0.01,-20,0.0,0.5490000000000066,ok
370,370,2022.06.30 12:40:49:970,205.333,955.946999393417,161.655005412948,4.7419879428759,-904.258596997948,299.842929658204,79.0270392876118,-1.854119,-1.437317,2.262471,0.0,0.0,0.0,254,254,2,0.01,-20,0.0,0.546999999999997,ok
371,371,2022.06.30 12:40:50:518,205.881,953.764641926875,162.144788390713,4.62782517764867,-904.866289710735,291.482914890174,76.9525845060125,-0.222779,-1.910433,-0.500811,0.0,0.0,0.0,254,254,2,0.0251188643150958,-16,0.0,0.5480000000000018,ok
372,372,2022.06.30 12:40:51:098,206.461,954.784350340556,162.150717255448,4.5822766244668,-905.921915017364,291.719494393477,76.2782809017226,-0.226763,-1.910768,-0.498403,0.0,0.0,0.0,254,254,2,0.0251188643150958,-16,0.0,0.5800000000000125,ok
373,373,2022.06.30 12:40:51:645,207.008,955.487707213965,162.147441872981,4.53476451597049,-906.632526471352,292.005525268898,75.5446476833895,-0.22652,-1.910559,-0.498908,0.0,0.0,1e-06,254,254,2,0.0251188643150958,-16,0.0,0.546999999999997,ok
374,374,2022.06.30 12:40:52:195,207.558,951.782114968221,162.560931198169,4.44448599862375,-905.304024858677,284.383161663005,73.7565882522613,0.753219,-1.708109,-2.583245,0.0,0.0,0.0,0,0,2,0.199526231496888,-7,0.0,0.549999999999983,ok
375,375,2022.06.30 12:40:52:742,208.105,952.40773517476,162.621936169619,4.37823401907002,-906.282413895295,283.630684815726,72.7070485977456,0.755547,-1.706176,-2.585934,0.0,0.0,0.0,254,254,2,0.199526231496888,-7,0.0,0.546999999999997,ok
376,376,2022.06.30 12:40:53:290,208.653,953.165877271792,162.71426552126,4.32137790917299,-907.52858051501,282.415818321322,71.8217982621863,0.753874,-1.706696,-2.584898,0.0,0.0,0.0,254,254,2,0.199526231496888,-7,0.0,0.5480000000000018,ok
377,377,2022.06.30 12:40:53:838,209.201,953.796552857389,162.775057460436,4.25529099561401,-908.506969551629,281.663341474043,70.7722586076707,0.753246,-1.706083,-2.584568,0.002631,-0.003377,-0.000582,254,254,2,0.199526231496888,-7,0.0,0.5480000000000018,ok
378,378,2022.06.30 12:40:54:385,209.748,952.756332708997,163.016558019179,4.66457868711822,-908.187827026152,277.373917254328,77.4803871028125,2.480152,-1.108714,-2.296966,0.0,0.0,0.0,254,254,2,0.0199526231496888,-17,0.0,0.546999999999997,ok
379,379,2022.06.30 12:40:54:935,210.298,953.254581629645,163.110102784806,4.64058781503051,-909.14563231453,276.044467429791,77.1230746451765,2.470841,-1.108547,-2.298078,0.0,0.0,0.0,254,254,2,0.0199526231496888,-17,0.0,0.5500000000000114,ok
