RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled
2022.06.30 11:16:34:994,155.994,780.309537738045,125.748576965163,13.006083301825,-444.184795950846,617.043924666035,175.612177151255,-9.665263,4.084742,11.76726,0,0,0,254,254,811,0.0199526231496888,-17
2022.06.30 11:16:35:556,156.556,788.769744768155,126.777800192704,12.3627572806176,-461.29631222011,617.125868124214,168.875947031192,-6.257562,-0.610135,8.394577,-1e-06,3e-06,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:36:107,157.107,792.339123323994,126.44704058043,12.3361668720184,-459.844119262486,622.646476142232,169.280944223516,-6.256522,-0.610002,8.393438,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:36:653,157.653,795.947125572894,126.088301665278,12.3166330431985,-458.046912451754,628.408574890891,169.786677053198,-6.254001,-0.609671,8.390671,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:37:203,158.203,799.405959442453,125.768623088351,12.3116595071024,-456.517483224119,633.708283991964,170.456699201837,-6.251034,-0.609283,8.387416,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:37:751,158.751,796.525189059107,125.224227464538,10.8548861756109,-451.197811483012,639.039824813357,150.003380032256,-9.413632,-2.104721,6.385044,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:16:38:314,159.314,800.199152612548,124.847674244604,10.6819255479664,-449.307883377445,645.322887226732,148.322220176458,-9.411681,-2.104516,6.382932,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:16:38:861,159.861,803.549531243303,124.500893806484,10.5342974136894,-447.474607793184,651.057836221269,146.908197308891,-9.408658,-2.104203,6.379668,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:16:39:408,160.408,802.601762427069,124.627524305877,11.7633632939667,-446.491308889123,646.561265682994,163.626494969241,-5.580965,-0.234911,6.806658,-0.29792,0.040091,0.305006,254,254,811,0.501187233627272,-3
2022.06.30 11:16:39:955,160.955,805.439655362939,124.331980923671,11.7425909016522,-444.750754600162,651.199132936308,163.919169033878,-5.58,-0.234844,6.805637,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:40:505,161.505,808.459135204123,124.061261721549,11.7235899818422,-443.355214163842,655.787548817501,164.271172713488,-5.577904,-0.234706,6.803425,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:41:056,162.056,811.307144924543,123.800303030779,11.6956965973977,-441.959673727522,660.18392534064,164.463111140765,-5.575361,-0.234541,6.800743,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:41:606,162.606,804.238593353513,123.319302516817,11.9154788467194,-432.253019629485,657.559467370458,166.049959144555,-5.606019,1.313002,6.059145,0,0,0,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:42:188,163.188,806.495972646034,122.994712331329,11.9018941230951,-429.745201365232,661.883299092544,166.328933683224,-5.603495,1.310926,6.056993,0,0,-1e-06,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:42:770,163.77,808.572624243241,122.706376341381,11.9029791112194,-427.505160683609,665.74474116704,166.772197541781,-5.600739,1.310628,6.054315,0,0,0,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:43:318,164.318,810.86843900233,122.3986933376,11.9006414886433,-425.13123121067,669.93339774436,167.213349365629,-5.597154,1.308725,6.051496,0,0,0,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:43:868,164.868,813.186517390373,122.092761713705,11.8979865658491,-422.757301737732,674.122054322146,167.654501190409,-5.592297,1.304059,6.048558,-1.6e-05,-1.6e-05,1.5e-05,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:44:417,165.417,815.324013412147,121.809136128441,11.8981716178072,-420.517261056109,677.983496396642,168.097765048034,-5.588521,1.303265,6.045241,0,0,0,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:44:979,165.979,817.241896628778,121.564311101742,11.8829144043425,-418.622234227127,681.411408382894,168.280228017829,-5.585674,1.302719,6.042706,0,0,0,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:45:513,166.513,819.825366290484,121.242888639562,11.8762776867409,-416.114415962873,685.927279463041,168.719267807901,-5.580523,1.299665,6.038942,-6.7e-05,0.000143,0.000228,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:46:075,167.075,822.032416121672,120.950696198681,11.8639473815673,-413.740486489469,689.923896682303,169.000354381278,-5.575856,1.298192,6.035068,1.7e-05,-2.4e-05,-9e-06,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:46:628,167.628,824.246233195432,120.673179189962,11.8631041600155,-411.500445808311,693.785338757261,169.443618238904,-5.572073,1.29744,6.031718,0,0,0,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:47:175,168.175,826.634260336723,120.406982084591,11.8524452184704,-409.471530188014,697.732504604402,169.784034427255,-5.568564,1.296595,6.028668,6.5e-05,0.000281,-0.000154,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:47:738,168.738,829.09492041413,120.112714770455,11.8479085855067,-407.09760071461,701.921161181723,170.225186251104,-5.565091,1.295944,6.025568,0,0,0,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:48:318,169.318,831.576408847639,119.820206345066,11.8430979381942,-404.723671241671,706.109817759509,170.666338075884,-5.561339,1.295274,6.022197,-3.8e-05,8e-05,0.000123,254,254,811,0.0398107170553497,-14
2022.06.30 11:16:48:896,169.896,805.542605660329,117.290881796153,6.10942509293768,-367.250105800806,711.811965427649,85.7319963453338,-19.074921,0.872679,-0.432562,0,0,0,254,254,811,0.00794328234724281,-21
2022.06.30 11:16:49:449,170.449,807.086082287855,116.697753544437,5.63346828012533,-360.859512583753,717.559364672201,79.2269813371822,-19.073193,0.871735,-0.433708,2e-06,-4e-06,-5e-06,254,254,811,0.00794328234724281,-21
2022.06.30 11:16:50:029,171.029,808.722694594761,116.120742882929,5.17065677971581,-354.602808158481,723.171588772922,72.8841436142102,-19.069033,0.869458,-0.436458,0,0,0,254,254,811,0.00794328234724281,-21
