,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
177,2022.07.01 13:19:51:468,115.7,941.877543733156,162.980782273998,4.89233234534974,-897.348311351475,274.676059581419,80.3266941700131,1.060999,1.118745,0.559999,0.0,0.0,0.0,254,254,199,0.0251188643150958,-16,0.0,0.5649999999999977,ok
178,2022.07.01 13:19:52:022,116.254,941.716678484428,162.992605562927,4.93531289312829,-897.19383881192,274.42630110652,81.0168093340471,1.061364,1.116638,0.555363,8.8e-05,2.8e-05,-6e-05,254,254,199,0.0251188643150958,-16,0.0,0.554000000000002,ok
179,2022.07.01 13:19:52:573,116.805,941.441531842942,163.015960926001,4.99510736528081,-896.962130002354,273.95564371514,81.9719494525343,1.061214,1.116508,0.555859,0.0,0.0,0.0,254,254,199,0.0251188643150958,-16,0.0,0.5510000000000019,ok
180,2022.07.01 13:19:53:119,117.351,943.190178323826,163.709629964039,4.81213813728412,-902.132239070882,263.637345160612,79.1232326952741,2.820863,-0.186831,-2.930522,7.4e-05,-0.000149,-0.000241,254,254,199,0.01,-20,0.0,0.5459999999999923,ok
181,2022.07.01 13:19:53:675,117.907,943.563770445477,163.848020279785,4.79497950160827,-903.146696881031,261.567742558247,78.8729919753969,2.818013,-0.187558,-2.930593,0.0,0.0,0.0,254,254,199,0.01,-20,0.0,0.5559999999999974,ok
182,2022.07.01 13:19:54:225,118.457,943.896498700122,163.986685139624,4.80393622267351,-904.083918421635,259.469280396996,79.047841463238,2.817394,-0.186697,-2.930125,0.000935,-0.000246,-0.00153,254,254,199,0.01,-20,0.0,0.5499999999999972,ok
183,2022.07.01 13:19:54:788,119.02,944.346798809486,164.113604799263,4.79614973781988,-905.098376231318,257.591717152685,78.9576659956947,2.816245,-0.186348,-2.929054,0.0,0.0,0.0,254,254,199,0.01,-20,0.0,0.5630000000000024,ok
184,2022.07.01 13:19:55:323,119.555,943.442728688086,162.745075242417,5.03727551208382,-897.502783891496,278.766605226359,82.8378840386868,-1.087225,0.159645,2.506401,0.0,0.0,0.0,254,254,199,0.316227766016838,-5,0.0,0.5350000000000108,ok
185,2022.07.01 13:19:55:869,120.101,943.492839168154,162.658298241282,5.0561373288948,-897.101117517085,280.132327451887,83.1516784410924,-1.086678,0.159725,2.505807,0.0,0.0,0.0,254,254,199,0.316227766016838,-5,0.0,0.5459999999999923,ok
186,2022.07.01 13:19:56:420,120.652,943.646486057536,162.581831727596,5.08432521278498,-896.833339933989,281.362874533115,83.6276501286775,-1.085919,0.159817,2.504979,0.000101,-2.7e-05,-0.000166,254,254,199,0.316227766016838,-5,0.0,0.5510000000000019,ok
187,2022.07.01 13:19:56:971,121.203,942.611857441086,162.154111910002,4.87901291697257,-894.006190288284,287.824005522489,80.1709882672876,-2.745674,-0.254368,3.203375,0.0,0.0,0.0,254,254,199,0.1,-10,0.0,0.5510000000000019,ok
188,2022.07.01 13:19:57:534,121.766,942.813853535957,162.001781120547,4.89044478181762,-893.413982600787,290.257095028672,80.3755988981575,-2.745287,-0.254292,3.202791,-4e-06,8e-06,1.2e-05,254,254,199,0.1,-10,0.0,0.5630000000000024,ok
189,2022.07.01 13:19:58:069,122.301,942.632869049012,161.851220610848,4.89048411947269,-892.476761060183,292.547596547982,80.3608146617189,-2.743529,-0.25403,3.201099,3.8e-05,-7.5e-05,-8.7e-05,254,254,199,0.1,-10,0.0,0.5349999999999966,ok
