,id,azimuth,elevation,range,heading,angularVel,radialVel,rcs,rcs_dsbm,TrackTime,SystemTime,pos_x,pos_y,pos_z,vel,velXY,vel_x,vel_y,vel_z,acc,accXY,acc_x,acc_y,acc_z,disp,dispXY,MaxVelocity,probUAV,label
23,2,-125.749736001559,26.6339036281978,254.244280948817,-125.00753078164183,-0.2666583783690726,8.88930724085708,0.0161596733982934,-17.785086801119,79.714,2021.06.18 14:46:21:428,-132.779392192656,-184.444031028918,113.974194850286,10.224520461645389,10.210811936300134,-5.85778043787446,-8.36343761500883,-0.5292809009552,-0.012111811309871712,0.025649833748882855,-0.05362165445431977,0.006173822451238209,0.5733126525609,4.833389992247405,4.823133325211519,11.704393767363342,0.997120976448059,1.0
24,2,-125.158023834229,26.6167118284438,258.726932101779,-121.10622854441523,7.802604474453204,8.97347153436874,0.018027813298118,-17.9842908647326,80.214,2021.06.18 14:46:21:928,-133.194452211283,-189.109905466202,115.914809765903,10.008495628443114,10.007909503101269,-5.1703503523567,-8.56888148220931,0.108314921872483,-0.43204966640454856,-0.4058048663977303,1.37486017103552,-0.4108877344009585,1.275191645655366,5.070369348901336,4.684299209440294,11.704393767363342,0.999516715606053,1.0
25,2,-124.661744376209,26.4646049392557,263.284526218878,-118.30384701741366,5.6047630540031435,9.071862877599076,0.0253863916004596,-16.5598160396112,80.714,2021.06.18 14:46:22:428,-134.046806205071,-193.864753203005,117.331341211483,9.966902790099843,9.955259955199233,-4.72025988714624,-8.76506402562991,0.481612345882668,-0.08318567668654353,-0.10529909580407093,0.9001809304209214,-0.392365086841199,0.74659484802037,5.034048635762648,4.8306401574643125,11.704393767363342,0.999986601210086,1.0
26,2,-124.471677356296,26.07829535449,267.706142001682,-117.70463966623629,1.1984147023547393,8.72607176620278,0.0274175124574835,-15.6197195053101,81.214,2021.06.18 14:46:22:928,-136.095660458052,-198.230187969797,117.682920588954,9.614664469426009,9.608091856199023,-4.46693392989318,-8.50658159210426,0.355448649575317,-0.704476641347668,-0.6943361980004212,0.5066519145061186,0.5169648670512998,-0.25232739261470194,4.835124870335569,4.822325627026306,11.704393767363342,0.9999960064888,1.0
27,2,-124.273038204586,25.831658265301,272.051948333455,-117.32046321610463,0.7683529002633236,8.602203335112018,0.0293036687952474,-15.4088322291865,81.714,2021.06.18 14:46:23:428,-137.894283055496,-202.350039746528,118.540572965386,9.401017895906588,9.38814781642247,-4.30884905602992,-8.34093155680755,0.491749993551557,-0.42729314703884214,-0.43988807955310705,0.31616974772652107,0.33130007059341793,0.27260268795248,4.576438518003866,4.49535559330627,11.704393767363342,0.999999581096329,1.0
28,2,-124.260810958015,25.4941841761271,276.409703572591,-118.39248728708465,-2.1440481419600417,8.657546411865512,0.0341043307680121,-15.0124425358243,82.214,2021.06.18 14:46:23:928,-140.456197206117,-206.20386734151,118.971936222458,9.379554316381437,9.361250770816977,-4.45135772034883,-8.23519462062751,0.585681807663705,-0.042927159050300645,-0.05379409121098533,-0.2850173286378208,0.21147387236008086,0.18786362822429603,4.647737676176285,4.62767665756768,11.704393767363342,1.0,1.0
29,2,-124.206391486052,25.1706068805445,280.778683100905,-118.88678545199447,-0.988596329819643,8.718490192693835,0.0366694382089326,-14.3569574356079,82.714,2021.06.18 14:46:24:428,-142.858600845402,-210.159776475263,119.419105630511,9.388995622841943,9.366187993452757,-4.52462236278801,-8.20080910659779,0.654034614562988,0.018882612921011344,0.009874445271560006,-0.14652928487836014,0.06877102805944091,0.13670561379856583,4.649808684242677,4.628256725869919,11.704393767363342,1.0,1.0
30,2,-124.164192631559,24.901953895137,285.376311104253,-119.60050557770947,-1.4274402514299993,9.024670648192416,0.0334611382611134,-14.2894312840588,83.214,2021.06.18 14:46:24:928,-145.35852541849,-214.176417666699,120.1623369987,9.612468213080687,9.572244758748852,-4.72820588563061,-8.32297656037087,0.878450582612236,0.44694518047748844,0.41211353059219036,-0.407167045685199,-0.24433490754616116,0.44883193609849603,4.789094089546549,4.731070632728875,11.704393767363342,1.0,1.0
31,2,-124.394695421971,24.625989441478,289.988017510931,-122.20672970440637,-5.212448253393802,9.067215880513055,0.0303233375531089,-15.1149336613646,83.714,2021.06.18 14:46:25:428,-148.912411345091,-217.524298742785,120.835881750066,9.56369675520044,9.507716241688872,-5.06738136216614,-8.04476937288109,1.03326061231281,-0.09754291576049567,-0.12905703411995972,-0.6783509530710603,0.5564143749795605,0.30962005940114823,4.928699160123292,4.8824597160557675,11.704393767363342,1.0,1.0
32,2,-124.308230747686,24.4602890192905,294.603768607166,-122.09931149569381,0.2148364174251185,9.229362893631896,0.0304289356823398,-15.1671323776245,84.214,2021.06.18 14:46:25:928,-151.148456859894,-221.507058717678,121.984113801066,9.661930391288564,9.581865740156084,-5.09169230369546,-8.11706970198392,1.24126863479614,0.1964672721762497,0.14829899693442528,-0.048621883058640236,-0.14460065820566115,0.41601604496665967,4.709640475113163,4.567524117274091,11.704393767363342,1.0,1.0
