,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
934,2022.06.30 12:48:19:542,8.272,1343.60039278462,60.7434775106295,3.36785789419068,655.511074522128,1170.18675551427,78.9316406063735,-4.959108,4.485535,-2.843351,0.0,0.0,0.0,254,254,1792,0.1,-10,0.0,0.5810000000000004,ok
935,2022.06.30 12:48:20:073,8.803,1344.79849393432,60.5991377219423,3.29162520297076,659.095101841251,1169.6642082263,77.2157756630331,-4.957505,4.48229,-2.842841,-5e-06,-1.1e-05,6e-06,254,254,1792,0.1,-10,0.0,0.5310000000000006,ok
936,2022.06.30 12:48:20:639,9.369,1346.00905854224,60.4612396458894,3.22924290744947,662.545240369059,1169.19852515208,75.8221532553434,-4.955824,4.478875,-2.842302,-8e-06,8e-06,-2e-06,254,254,1792,0.1,-10,0.0,0.565999999999999,ok
937,2022.06.30 12:48:21:186,9.916,1340.06369406927,61.8475338708359,4.54063511086045,630.283706916166,1177.81941266834,106.087624632753,-0.031205,-0.178626,2.649,0.0,0.0,0.0,254,254,1792,0.0199526231496888,-17,0.0,0.5470000000000006,ok
938,2022.06.30 12:48:21:750,10.48,1341.28962848753,61.878215329846,4.56627417909839,630.206470646156,1179.19254773643,106.782991186716,-0.030891,-0.178389,2.64853,-2e-06,-4e-06,2e-06,254,254,1792,0.0199526231496888,-17,0.0,0.5640000000000001,ok
939,2022.06.30 12:48:22:298,11.028,1342.01610143195,61.8937231924685,4.59121972967632,630.206470646156,1179.96070517054,107.423252193257,-0.030495,-0.178099,2.647946,0.0,0.0,0.0,254,254,1792,0.0199526231496888,-17,0.0,0.548,ok
940,2022.06.30 12:48:22:844,11.574,1337.28994155593,62.1626028050039,3.93038770245208,622.997437366472,1179.7526586963,91.6637612171471,-1.229701,-2.434457,1.178894,0.0,0.0,0.0,254,254,1792,0.1,-10,0.0,0.5459999999999994,ok
941,2022.06.30 12:48:23:394,12.124,1338.19442972445,62.2156815147738,3.90538602127225,622.343478434254,1181.16292106661,91.143186762929,-1.229602,-2.434093,1.178539,0.003357,0.011289,-0.011511,254,254,1792,0.1,-10,0.0,0.5500000000000007,ok
942,2022.06.30 12:48:23:957,12.687,1338.92976796581,62.2710704636978,3.88786573640543,621.555630710721,1182.43800829261,90.7847895948216,-1.229289,-2.4331,1.177774,0.0,1e-06,1e-06,254,254,1792,0.1,-10,0.0,0.5629999999999988,ok
943,2022.06.30 12:48:24:505,13.235,1335.86056468145,62.5146491526458,3.64950313580548,615.278531392252,1182.67724450547,85.0312437154353,-1.370244,-3.781943,0.858633,0.0,0.0,0.0,0,0,1792,0.1,-10,0.0,0.548,ok
944,2022.06.30 12:48:25:053,13.783,1336.48504221032,62.6026996721138,3.60088587469502,613.780072214731,1184.23836260689,83.9392133280635,-1.37147,-3.783891,0.859861,5e-05,-9.9e-05,-0.000134,254,254,1792,0.1,-10,0.0,0.548,ok
945,2022.06.30 12:48:25:600,14.33,1337.32090387572,62.6846993508432,3.5630403086789,612.492738098536,1185.90579629467,83.1100958622992,-1.371805,-3.783693,0.859678,0.0,0.0,0.0,254,254,1792,0.1,-10,0.0,0.5470000000000006,ok
946,2022.06.30 12:48:26:150,14.88,1337.97981377832,62.7628192791599,3.5188430054145,611.205403982341,1187.38119062299,82.1209131451324,-1.371043,-3.780429,0.858189,0.003146,-0.005785,-0.00309,254,254,1792,0.1,-10,0.0,0.5500000000000007,ok
947,2022.06.30 12:48:26:696,15.426,1335.88717627513,62.9612611223057,3.45715432118222,606.179570007002,1187.70849712985,80.5568276932463,-1.219806,-4.491898,1.014767,0.0,0.0,0.0,254,254,1792,0.0794328234724281,-11,0.0,0.5459999999999994,ok
948,2022.06.30 12:48:27:245,15.975,1336.68645534919,63.0625425935474,3.41064859545682,604.469985768155,1189.54737836199,79.5220148861408,-1.222202,-4.493711,1.018337,0.0,0.0,0.0,254,254,1792,0.0794328234724281,-11,0.0,0.5489999999999995,ok
949,2022.06.30 12:48:27:798,16.528,1337.13908595085,63.1624802709071,3.36516451567821,602.626512737993,1191.05904509082,78.4893141137436,-1.220695,-4.489365,1.015259,0.0,0.0,0.0,254,254,1792,0.0794328234724281,-11,0.0,0.552999999999999,ok
950,2022.06.30 12:48:28:348,17.078,1337.80148099474,63.2563036865123,3.33047133454518,600.994164768692,1192.67702740648,77.7195262629539,-1.220848,-4.487823,1.014422,-0.003918,0.0037,0.006099,254,254,1792,0.0794328234724281,-11,0.0,0.5500000000000007,ok
951,2022.06.30 12:48:28:898,17.628,1338.43473317792,63.3535423143082,3.27765828972541,599.284580529845,1194.32386928055,76.5246482053772,-1.219392,-4.482925,1.010842,2.3e-05,7e-05,-7.3e-05,254,254,1792,0.0794328234724281,-11,0.0,0.5500000000000007,ok
952,2022.06.30 12:48:29:449,18.179,1339.0821726075,63.4569004516536,3.23867364378686,597.441107499683,1196.02757536838,75.6520126843825,-1.219409,-4.480908,1.009565,0.0,0.0,0.0,254,254,1792,0.0794328234724281,-11,0.0,0.5509999999999984,ok
953,2022.06.30 12:48:30:000,18.73,1339.57695098731,63.5467540646856,3.1976420999551,595.808759530847,1197.45351832551,74.7221595821902,-1.218675,-4.477446,1.007181,0.0,0.0,0.0,254,254,1792,0.0794328234724281,-11,0.0,0.5510000000000019,ok
954,2022.06.30 12:48:30:548,19.278,1336.8313322753,61.373678533864,3.33762024073186,639.383046012432,1171.43069448707,77.8296822449192,-3.617452,6.518719,-2.404083,0.0,0.0,0.0,254,254,1792,0.0316227766016838,-15,0.0,0.5479999999999983,ok
